User_ID,Income,Transaction_ID,Reason,Amount_Spent,Date,Category,Total_Spent,Available_Amount,Can_Spent,Validate
1,19278,1,Education,409,2024-04-12 02:01:15.637632,Good,409,18869,2830,True
1,19278,2,Travel,102,2024-04-15 02:01:15.637632,Good,511,18767,750,True
1,19278,3,Entertainment,507,2024-04-16 02:01:15.637632,Good,1018,18260,1826,True
1,19278,4,Travel,383,2024-04-18 02:01:15.637632,Good,1401,17877,715,True
1,19278,5,Travel,376,2024-04-22 02:01:15.637632,Good,1777,17501,700,True
1,19278,6,Utilities,3228,2024-04-23 02:01:15.637632,Bad,5005,14273,2854,True
1,19278,7,Travel,250,2024-04-23 02:01:15.637632,Good,5255,14023,560,True
1,19278,8,Groceries,1523,2024-04-24 02:01:15.637632,Good,6778,12500,3750,True
1,19278,9,Utilities,2116,2024-04-25 02:01:15.637632,Bad,8894,10384,2076,True
1,19278,10,Dining Out,692,2024-04-28 02:01:15.637632,Bad,9586,9692,484,True
1,19278,11,Travel,92,2024-05-01 02:01:15.637632,Good,92,19186,767,True
1,19278,12,Mall,1124,2024-05-02 02:01:15.637632,Bad,1216,18062,903,True
1,19278,13,Dining Out,115,2024-05-04 02:01:15.637632,Good,1331,17947,897,True
1,19278,14,Entertainment,2185,2024-05-06 02:01:15.637632,Bad,3516,15762,1576,True
1,19278,15,Groceries,2312,2024-05-07 02:01:15.637632,Good,5828,13450,4035,True
1,19278,16,Clothing,587,2024-05-10 02:01:15.637632,Good,6415,12863,643,True
1,19278,17,Mall,309,2024-05-11 02:01:15.637632,Good,6724,12554,627,True
1,19278,18,Health,192,2024-05-13 02:01:15.637632,Good,6916,12362,2472,True
1,19278,19,Entertainment,20,2024-05-15 02:01:15.637632,Good,6936,12342,1234,True
1,19278,20,Dining Out,916,2024-05-17 02:01:15.637632,Bad,7852,11426,571,True
1,19278,21,Education,974,2024-05-18 02:01:15.637632,Good,8826,10452,1567,True
1,19278,22,Travel,844,2024-05-18 02:01:15.637632,Bad,9670,9608,384,True
1,19278,23,Entertainment,434,2024-05-20 02:01:15.637632,Good,10104,9174,917,True
1,19278,24,Dining Out,436,2024-05-26 02:01:15.637632,Good,10540,8738,436,True
1,19278,25,Education,875,2024-05-29 02:01:15.637632,Good,11415,7863,1179,True
1,19278,26,Utilities,1119,2024-05-30 02:01:15.637632,Good,12534,6744,1348,True
1,19278,27,Travel,748,2024-06-01 02:01:15.637632,Bad,748,18530,741,True
1,19278,28,Utilities,1444,2024-06-01 02:01:15.637632,Good,2192,17086,3417,True
1,19278,29,Entertainment,1754,2024-06-04 02:01:15.637632,Bad,3946,15332,1533,True
1,19278,30,Health,1202,2024-06-05 02:01:15.637632,Good,5148,14130,2826,True
1,19278,31,Education,1138,2024-06-08 02:01:15.637632,Good,6286,12992,1948,True
1,19278,32,Entertainment,808,2024-06-10 02:01:15.637632,Good,7094,12184,1218,True
1,19278,33,Utilities,912,2024-06-11 02:01:15.637632,Good,8006,11272,2254,True
1,19278,34,Groceries,1667,2024-06-15 02:01:15.637632,Good,9673,9605,2881,True
1,19278,35,Entertainment,1401,2024-06-18 02:01:15.637632,Bad,11074,8204,820,True
1,19278,36,Travel,399,2024-06-18 02:01:15.637632,Bad,11473,7805,312,True
1,19278,37,Travel,594,2024-06-20 02:01:15.637632,Bad,12067,7211,288,True
1,19278,38,Utilities,940,2024-06-22 02:01:15.637632,Good,13007,6271,1254,True
1,19278,39,Clothing,319,2024-06-23 02:01:15.637632,Bad,13326,5952,297,True
1,19278,40,Education,715,2024-06-23 02:01:15.637632,Good,14041,5237,785,True
1,19278,41,Health,1253,2024-06-26 02:01:15.637632,Bad,15294,3984,796,True
1,19278,42,Travel,362,2024-06-26 02:01:15.637632,Bad,15656,3622,144,True
1,19278,43,Health,451,2024-06-26 02:01:15.637632,Good,16107,3171,634,True
1,19278,44,Dining Out,231,2024-06-27 02:01:15.637632,Bad,16338,2940,147,True
1,19278,45,Health,63,2024-06-27 02:01:15.637632,Good,16401,2877,575,True
1,19278,46,Health,1255,2024-07-02 02:01:15.637632,Good,1255,18023,3604,True
1,19278,47,Groceries,3543,2024-07-03 02:01:15.637632,Good,4798,14480,4344,True
1,19278,48,Education,1971,2024-07-05 02:01:15.637632,Bad,6769,12509,1876,True
1,19278,49,Mall,126,2024-07-05 02:01:15.637632,Good,6895,12383,619,True
1,19278,50,Groceries,1089,2024-07-08 02:01:15.637632,Good,7984,11294,3388,True
1,19278,51,Mall,212,2024-07-11 02:01:15.637632,Good,8196,11082,554,True
1,19278,52,Education,1718,2024-07-12 02:01:15.637632,Bad,9914,9364,1404,True
1,19278,53,Dining Out,890,2024-07-13 02:01:15.637632,Bad,10804,8474,423,True
1,19278,54,Utilities,2119,2024-07-16 02:01:15.637632,Bad,12923,6355,1271,True
1,19278,55,Clothing,259,2024-07-21 02:01:15.637632,Good,13182,6096,304,True
1,19278,56,Travel,304,2024-07-24 02:01:15.637632,Bad,13486,5792,231,True
1,19278,57,Entertainment,257,2024-07-25 02:01:15.637632,Good,13743,5535,553,True
1,19278,58,Mall,10,2024-07-26 02:01:15.637632,Good,13753,5525,276,True
1,19278,59,Education,451,2024-07-27 02:01:15.637632,Good,14204,5074,761,True
1,19278,60,Travel,565,2024-07-29 02:01:15.637632,Bad,14769,4509,180,True
1,19278,61,Groceries,366,2024-07-30 02:01:15.637632,Good,15135,4143,1242,True
1,19278,62,Mall,682,2024-07-31 02:01:15.637632,Bad,15817,3461,173,True
1,19278,63,Entertainment,262,2024-07-31 02:01:15.637632,Good,16079,3199,319,True
1,19278,64,Mall,635,2024-07-31 02:01:15.637632,Bad,16714,2564,128,True
1,19278,65,Utilities,370,2024-07-31 02:01:15.637632,Good,17084,2194,438,True
1,19278,66,Mall,522,2024-08-01 02:01:15.637632,Good,522,18756,937,True
1,19278,67,Dining Out,341,2024-08-06 02:01:15.637632,Good,863,18415,920,True
1,19278,68,Groceries,3307,2024-08-11 02:01:15.637632,Good,4170,15108,4532,True
1,19278,69,Health,396,2024-08-12 02:01:15.637632,Good,4566,14712,2942,True
1,19278,70,Mall,616,2024-08-12 02:01:15.637632,Good,5182,14096,704,True
1,19278,71,Education,2173,2024-08-14 02:01:15.637632,Bad,7355,11923,1788,True
1,19278,72,Groceries,90,2024-08-14 02:01:15.637632,Good,7445,11833,3549,True
1,19278,73,Travel,698,2024-08-16 02:01:15.637632,Bad,8143,11135,445,True
1,19278,74,Clothing,114,2024-08-17 02:01:15.637632,Good,8257,11021,551,True
1,19278,75,Entertainment,468,2024-08-21 02:01:15.637632,Good,8725,10553,1055,True
1,19278,76,Mall,326,2024-08-21 02:01:15.637632,Good,9051,10227,511,True
1,19278,77,Education,2024,2024-08-23 02:01:15.637632,Bad,11075,8203,1230,True
1,19278,78,Dining Out,472,2024-08-23 02:01:15.637632,Bad,11547,7731,386,True
1,19278,79,Education,242,2024-08-24 02:01:15.637632,Good,11789,7489,1123,True
1,19278,80,Clothing,853,2024-08-26 02:01:15.637632,Bad,12642,6636,331,True
1,19278,81,Groceries,1969,2024-08-29 02:01:15.637632,Bad,14611,4667,1400,True
1,19278,82,Dining Out,136,2024-08-30 02:01:15.637632,Good,14747,4531,226,True
1,19278,83,Health,4167,2024-09-03 02:01:15.637632,Bad,4167,15111,3022,True
1,19278,84,Health,1338,2024-09-04 02:01:15.637632,Good,5505,13773,2754,True
1,19278,85,Groceries,3792,2024-09-05 02:01:15.637632,Bad,9297,9981,2994,True
1,19278,86,Mall,403,2024-09-05 02:01:15.637632,Good,9700,9578,478,True
1,19278,87,Health,820,2024-09-06 02:01:15.637632,Good,10520,8758,1751,True
1,19278,88,Education,945,2024-09-06 02:01:15.637632,Good,11465,7813,1171,True
1,19278,89,Mall,385,2024-09-11 02:01:15.637632,Bad,11850,7428,371,True
1,19278,90,Utilities,1512,2024-09-15 02:01:15.637632,Bad,13362,5916,1183,True
1,19278,91,Education,345,2024-09-15 02:01:15.637632,Good,13707,5571,835,True
1,19278,92,Clothing,497,2024-09-18 02:01:15.637632,Bad,14204,5074,253,True
1,19278,93,Travel,86,2024-09-19 02:01:15.637632,Good,14290,4988,199,True
1,19278,94,Mall,96,2024-09-21 02:01:15.637632,Good,14386,4892,244,True
1,19278,95,Clothing,307,2024-09-21 02:01:15.637632,Bad,14693,4585,229,True
1,19278,96,Clothing,36,2024-09-22 02:01:15.637632,Good,14729,4549,227,True
1,19278,97,Groceries,993,2024-09-26 02:01:15.637632,Good,15722,3556,1066,True
1,19278,98,Dining Out,254,2024-09-27 02:01:15.637632,Bad,15976,3302,165,True
1,19278,99,Mall,506,2024-09-30 02:01:15.637632,Bad,16482,2796,139,True
1,19278,100,Dining Out,370,2024-09-30 02:01:15.637632,Bad,16852,2426,121,True
1,19278,101,Travel,291,2024-10-01 02:01:15.637632,Good,291,18987,759,True
1,19278,102,Utilities,820,2024-10-03 02:01:15.637632,Good,1111,18167,3633,True
1,19278,103,Utilities,3176,2024-10-04 02:01:15.637632,Bad,4287,14991,2998,True
1,19278,104,Utilities,1165,2024-10-05 02:01:15.637632,Good,5452,13826,2765,True
2,28783,1,Travel,1292,2024-04-13 02:01:15.638424,Bad,1292,27491,1099,True
2,28783,2,Travel,298,2024-04-15 02:01:15.638424,Good,1590,27193,1087,True
2,28783,3,Mall,1375,2024-04-15 02:01:15.638424,Bad,2965,25818,1290,True
2,28783,4,Travel,743,2024-04-17 02:01:15.638424,Good,3708,25075,1003,True
2,28783,5,Utilities,4461,2024-04-19 02:01:15.638424,Bad,8169,20614,4122,True
2,28783,6,Education,162,2024-04-20 02:01:15.638424,Good,8331,20452,3067,True
2,28783,7,Entertainment,2335,2024-04-22 02:01:15.638424,Bad,10666,18117,1811,True
2,28783,8,Mall,1013,2024-04-24 02:01:15.638424,Bad,11679,17104,855,True
2,28783,9,Clothing,139,2024-04-26 02:01:15.638424,Good,11818,16965,848,True
2,28783,10,Groceries,2705,2024-04-26 02:01:15.638424,Good,14523,14260,4278,True
2,28783,11,Entertainment,1462,2024-04-26 02:01:15.638424,Bad,15985,12798,1279,True
2,28783,12,Health,1095,2024-04-29 02:01:15.638424,Good,17080,11703,2340,True
